modzcta,modzcta_name,lat,lon,people_positive_7day,hospitalization_count_28day,death_count_28day
11106,Astoria (South),40.761792,-73.931771,32,6,
11109,Long Island City,40.746210999999995,-73.956999,6,0,0.0
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,40.694609,-73.989581,65,8,
11203,East Flatbush (North)/East Flatbush (South),40.649576,-73.934363,52,32,
11204,Bensonhurst/Mapleton,40.618774,-73.984824,57,19,
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,40.694625,-73.966212,37,16,0.0
11206,Williamsburg (South),40.701957,-73.942361,62,23,
11207,Cypress Hills/East New York,40.670819,-73.894255,64,36,5.0
11208,Cypress Hills/East New York,40.668385,-73.871084,73,27,
11209,Bay Ridge/Fort Hamilton,40.621811,-74.030011,64,18,0.0
11210,Flatlands/Midwood,40.628165,-73.94631600000001,43,23,0.0
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),40.712334000000006,-73.953851,64,19,0.0
11212,Ocean Hill-Brownsville,40.662935,-73.913011,65,28,
11213,Crown Heights (East),40.671074,-73.93633,53,26,
11214,Bath Beach/Bensonhurst/Gravesend,40.598729,-73.99620999999999,91,31,
11215,Gowanus/Park Slope/Windsor Terrace,40.66252,-73.98687199999999,60,10,
11216,Bedford-Stuyvesant (West)/Crown Heights (West),40.680785,-73.94931,55,14,0.0
11217,Boerum Hill/Park Slope,40.682417,-73.97938,58,9,
11218,Kensington/Windsor Terrace,40.64348,-73.97604399999999,64,23,
11219,Borough Park,40.632661999999996,-73.996666,48,24,
11220,Sunset Park,40.641081,-74.01649499999999,77,18,
11221,Bedford-Stuyvesant (East)/Bushwick,40.691339,-73.927885,65,19,
11222,Greenpoint,40.728291999999996,-73.947562,38,5,0.0
11223,Gravesend/Homecrest,40.597169,-73.973422,73,23,
11224,Brighton Beach/Coney Island/Seagate,40.57666,-73.98858100000001,65,33,7.0
11225,Crown Heights (West)/Prospect Lefferts Gardens,40.663056,-73.954226,30,17,0.0
11226,Flatbush/Prospect Lefferts Gardens,40.646456,-73.956654,65,30,5.0
11228,Bath Beach/Dyker Heights,40.616715,-74.013054,30,12,
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,40.601175,-73.94446500000001,82,30,
11230,Midwood,40.622164,-73.965096,75,21,
11231,Carroll Gardens/Cobble Hill/Red Hook,40.677562,-74.00444499999999,30,3,0.0
11232,Sunset Park,40.655984000000004,-74.00530400000001,31,4,0.0
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,40.678302,-73.919931,45,30,
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,40.60758,-73.910513,71,17,
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,40.583915000000005,-73.949669,83,37,9.0
11236,Canarsie,40.640004,-73.901459,88,32,
11237,Bushwick/East Williamsburg,40.704153000000005,-73.92088299999999,44,13,
11238,Clinton Hill/Prospect Heights,40.679179,-73.96380400000001,51,7,
11239,East New York,40.647529999999996,-73.882398,22,8,0.0
11354,Flushing/Murray Hill,40.76863,-73.827229,54,12,6.0
11355,Flushing/Murray Hill/Queensboro Hill,40.751459000000004,-73.821014,74,10,
11356,College Point,40.784867,-73.841495,27,3,0.0
11357,Whitestone,40.786390000000004,-73.810964,37,6,
11358,Auburndale/Murray Hill,40.760475,-73.79637,24,4,6.0
11360,Bayside (North),40.78205,-73.7808,20,2,
11361,Bayside (North)/Bayside (South),40.763748,-73.772419,22,6,
11362,Douglaston-Little Neck,40.756533000000005,-73.736995,13,3,0.0
11363,Douglaston-Little Neck,40.772803,-73.746444,7,0,0.0
